annee;effectif_moyen;region;secteur;salaire_moyen
2011;20594.5;Occitanie;GS3 Commerce;112484005.6725
2012;20341.5;Occitanie;GS3 Commerce;93198173.63142857
2013;20087.0;Occitanie;GS3 Commerce;93472115.33625002
2014;19448.5;Occitanie;GS3 Commerce;80494606.51375
2015;19806.0;Occitanie;GS3 Commerce;62922723.928571425
2016;20184.0;Occitanie;GS3 Commerce;68166298.76875
2017;21119.0;Occitanie;GS3 Commerce;112365420.72166668
2018;20728.0;Occitanie;GS3 Commerce;110116303.55399999
2019;21530.0;Occitanie;GS3 Commerce;80321158.35125
2020;21922.0;Occitanie;GS3 Commerce;48022083.03666667
1998;5832.0;Occitanie;GS4 Hôtellerie-restauration;31777337.592
1999;6177.333333333333;Occitanie;GS4 Hôtellerie-restauration;40269725.884
2000;6580.0;Occitanie;GS4 Hôtellerie-restauration;55085014.13142858
2001;7057.0;Occitanie;GS4 Hôtellerie-restauration;48085043.575
2003;6012.0;Occitanie;GS4 Hôtellerie-restauration;41721649.87714286
2004;7836.0;Occitanie;GS4 Hôtellerie-restauration;47672595.80083334
2005;9989.0;Occitanie;GS4 Hôtellerie-restauration;79381947.78400001
2006;8401.0;Occitanie;GS4 Hôtellerie-restauration;68712940.61625001
2007;6753.5;Occitanie;GS4 Hôtellerie-restauration;26421445.161249995
2008;7744.0;Occitanie;GS4 Hôtellerie-restauration;62076852.238
2009;8898.0;Occitanie;GS4 Hôtellerie-restauration;60215727.09833334
2011;9429.0;Occitanie;GS4 Hôtellerie-restauration;112484005.6725
2014;6849.0;Occitanie;GS4 Hôtellerie-restauration;80494606.51375
2015;8289.5;Occitanie;GS4 Hôtellerie-restauration;62922723.928571425
2016;8674.0;Occitanie;GS4 Hôtellerie-restauration;68166298.76875
2017;10979.0;Occitanie;GS4 Hôtellerie-restauration;112365420.72166668
2019;11083.0;Occitanie;GS4 Hôtellerie-restauration;80321158.35125
2020;9688.0;Occitanie;GS4 Hôtellerie-restauration;48022083.03666667
1998;20279.0;Occitanie;GS5 Autres services marchands hors intérim;31777337.592
1999;22023.5;Occitanie;GS5 Autres services marchands hors intérim;40269725.884
2000;22601.5;Occitanie;GS5 Autres services marchands hors intérim;55085014.13142858
2001;23732.0;Occitanie;GS5 Autres services marchands hors intérim;48085043.575
2002;24098.0;Occitanie;GS5 Autres services marchands hors intérim;49395584.4775
2003;24936.5;Occitanie;GS5 Autres services marchands hors intérim;41721649.87714286
2004;25335.5;Occitanie;GS5 Autres services marchands hors intérim;47672595.80083334
2005;26183.0;Occitanie;GS5 Autres services marchands hors intérim;79381947.78400001
2006;26149.0;Occitanie;GS5 Autres services marchands hors intérim;68712940.61625001
2008;27326.0;Occitanie;GS5 Autres services marchands hors intérim;62076852.238
2009;26841.0;Occitanie;GS5 Autres services marchands hors intérim;60215727.09833334
2010;26819.0;Occitanie;GS5 Autres services marchands hors intérim;99792023.825
2011;26444.666666666668;Occitanie;GS5 Autres services marchands hors intérim;112484005.6725
2012;26984.5;Occitanie;GS5 Autres services marchands hors intérim;93198173.63142857
2014;27571.0;Occitanie;GS5 Autres services marchands hors intérim;80494606.51375
2017;28510.5;Occitanie;GS5 Autres services marchands hors intérim;112365420.72166668
2018;28640.0;Occitanie;GS5 Autres services marchands hors intérim;110116303.55399999
2019;29630.0;Occitanie;GS5 Autres services marchands hors intérim;80321158.35125
1998;1324.5;Occitanie;GS6 Intérim;31777337.592
1999;1948.0;Occitanie;GS6 Intérim;40269725.884
2001;1978.5;Occitanie;GS6 Intérim;48085043.575
2003;2109.0;Occitanie;GS6 Intérim;41721649.87714286
2004;2344.0;Occitanie;GS6 Intérim;47672595.80083334
2005;2689.0;Occitanie;GS6 Intérim;79381947.78400001
2006;2836.5;Occitanie;GS6 Intérim;68712940.61625001
2007;3141.0;Occitanie;GS6 Intérim;26421445.161249995
2008;3062.0;Occitanie;GS6 Intérim;62076852.238
2012;2182.0;Pays de la Loire;GS4 Hôtellerie-restauration;93198173.63142857
2014;2144.0;Pays de la Loire;GS4 Hôtellerie-restauration;80494606.51375
2015;2040.0;Pays de la Loire;GS4 Hôtellerie-restauration;62922723.928571425
2016;2141.0;Pays de la Loire;GS4 Hôtellerie-restauration;68166298.76875
2018;2145.0;Pays de la Loire;GS4 Hôtellerie-restauration;110116303.55399999
2019;2240.3333333333335;Pays de la Loire;GS4 Hôtellerie-restauration;80321158.35125
2020;2188.0;Pays de la Loire;GS4 Hôtellerie-restauration;48022083.03666667
1998;15928.0;Pays de la Loire;GS5 Autres services marchands hors intérim;31777337.592
1999;16651.0;Pays de la Loire;GS5 Autres services marchands hors intérim;40269725.884
2000;17237.5;Pays de la Loire;GS5 Autres services marchands hors intérim;55085014.13142858
2002;17751.0;Pays de la Loire;GS5 Autres services marchands hors intérim;49395584.4775
2004;17823.0;Pays de la Loire;GS5 Autres services marchands hors intérim;47672595.80083334
2005;17783.0;Pays de la Loire;GS5 Autres services marchands hors intérim;79381947.78400001
2006;17583.0;Pays de la Loire;GS5 Autres services marchands hors intérim;68712940.61625001
2007;17757.0;Pays de la Loire;GS5 Autres services marchands hors intérim;26421445.161249995
2008;18584.0;Pays de la Loire;GS5 Autres services marchands hors intérim;62076852.238
2009;18272.5;Pays de la Loire;GS5 Autres services marchands hors intérim;60215727.09833334
2010;18560.0;Pays de la Loire;GS5 Autres services marchands hors intérim;99792023.825
2011;18981.0;Pays de la Loire;GS5 Autres services marchands hors intérim;112484005.6725
2012;18916.0;Pays de la Loire;GS5 Autres services marchands hors intérim;93198173.63142857
2013;19424.25;Pays de la Loire;GS5 Autres services marchands hors intérim;93472115.33625002
2015;19451.0;Pays de la Loire;GS5 Autres services marchands hors intérim;62922723.928571425
2016;19645.666666666668;Pays de la Loire;GS5 Autres services marchands hors intérim;68166298.76875
2017;19785.0;Pays de la Loire;GS5 Autres services marchands hors intérim;112365420.72166668
2018;19919.5;Pays de la Loire;GS5 Autres services marchands hors intérim;110116303.55399999
2019;20056.0;Pays de la Loire;GS5 Autres services marchands hors intérim;80321158.35125
1998;3989.5;Pays de la Loire;GS6 Intérim;31777337.592
1999;3753.5;Pays de la Loire;GS6 Intérim;40269725.884
2000;4239.0;Pays de la Loire;GS6 Intérim;55085014.13142858
2001;3808.0;Pays de la Loire;GS6 Intérim;48085043.575
2002;3689.0;Pays de la Loire;GS6 Intérim;49395584.4775
2003;3132.0;Pays de la Loire;GS6 Intérim;41721649.87714286
2004;3114.6666666666665;Pays de la Loire;GS6 Intérim;47672595.80083334
2006;3332.0;Pays de la Loire;GS6 Intérim;68712940.61625001
2007;4227.666666666667;Pays de la Loire;GS6 Intérim;26421445.161249995
2009;2946.0;Pays de la Loire;GS6 Intérim;60215727.09833334
2010;3135.0;Pays de la Loire;GS6 Intérim;99792023.825
2013;3001.0;Pays de la Loire;GS6 Intérim;93472115.33625002
2014;3589.5;Pays de la Loire;GS6 Intérim;80494606.51375
2015;4053.0;Pays de la Loire;GS6 Intérim;62922723.928571425
2017;5067.0;Pays de la Loire;GS6 Intérim;112365420.72166668
